258 98 177 24 17 152 60 299 209 204 108 194 247 269 123 39 141 200 235 190 126
101 72 270 50 41 37 63 229 170 62 226 206 224 129 134 238 212 285 199 110 23
215 222 5 51 254 159 19 178 258 201 272 95 2 11 156 96 136 92 197 107 151
244 58 281 297 276 248 89 85 276 139 256 218 238 150 290 258 229 135 37 216 75
206 42 56 117 98 90 153 252 236 71 161 174 119 165 127 224 170 11 248 217 73
38 271 120 213 236 131 200 131 77 84 293 133 284 42 75 37 83 53 152 94 5
99 263 256 191 174 36 192 120 146 250 68 53 251 132 157 77 238 74 87 118 90
271 121 158 109 171 97 152 12 148 48 58 173 88 155 277 170 240 192 177 44 280
171 282 6 285 162 100 138 151 49 92 162 13 49 91 265 144 158 153 167 234 98
128 51 43 297 167 64 178 182 236 198 21 6 160 209 28 236 135 253 78 189 236
8 25 288 21 80 55 51 120 222 294 82 4 193 286 163 1 157 57 278 178 67
256 271 73 181 173 166 168 167 77 44 105 161 276 208 57 35 85 246 86 184 197
94 269 276 280 7 142 278 287 253 211 173 75 37 100 222 284 188 98 207 79 179
194 255 199 245 70 184 216 219 68 226 265 266 183 129 189 69 84 232 61 39 105
129 161 120 47 148 203 284 170 143 168 119 191 7 160 16 159 176 209 10 63 61
